train_frac,n_train,MAE,R2
0.2,3,773.19587628866,0.998075509506228
0.4,7,689.7269180754214,0.9984500439263887
0.6,10,1190.3695612597846,0.9952980601479259
0.8,14,1548.4123315926415,0.9924328856950585
1.0,18,1773.4500971875982,0.9901404483900614
